Size,Epsilon,Elizondo_Accuracy,Elizondo_Time,Sample,Tester_Accuracy,Tester_Time
50,0.0004,100.0,22.0538,20000,99.9,1915.55
50,0.0084,100.0,20.942,953,100.0,79.5669
50,0.05,100.0,26.8213,160,99.9,16.0296
50,0.1008,100.0,20.4644,80,100.0,8.9532
50,0.2036,100.0,23.3382,48,100.0,6.8338
50,0.3428,100.0,38.1152,48,100.0,6.5931
75,0.001067,100.0,60.5653,7500,99.9,821.741
75,0.016889,100.0,46.189,474,100.0,40.7196
75,0.047289,100.0,49.3046,170,100.0,15.8878
75,0.094933,100.0,50.6166,85,100.0,9.9907
75,0.202311,100.0,96.0446,48,100.0,11.2124
75,0.478756,100.0,242.054,48,100.0,6.4922
75,0.485867,100.0,129.556,48,100.0,6.9335
80,0.317344,100.0,169.781,48,100.0,6.3651
100,0.0001,100.0,79.1672,80000,99.6,8794.24
100,0.0011,100.0,73.9725,7273,99.7,778.577
100,0.0119,100.0,77.8443,673,99.9,56.865
100,0.0504,100.0,110.739,159,99.8,15.2933
100,0.0985,100.0,165.917,82,99.9,8.9246
100,0.1999,100.0,140.918,48,100.0,6.3206
100,0.3998,100.0,203.677,48,100.0,6.4114
125,0.000768,100.0,112.051,10417,100.0,1152.25
125,0.009024,100.0,118.623,887,100.0,72.1332
125,0.050368,100.0,157.307,159,100.0,16.0446
125,0.101184,100.0,150.55,80,99.8,8.5271
125,0.201088,100.0,217.278,48,99.9,6.1754
125,0.489088,100.0,376.355,48,100.0,6.7536
150,0.000844,100.0,226.933,9474,99.8,1036.98
150,0.012089,100.0,149.282,662,99.8,54.9705
150,0.047289,100.0,230.28,170,100.0,15.3862
150,0.099378,100.0,387.39,81,99.5,8.6223
150,0.1996,100.0,330.365,48,100.0,6.4435
150,0.400178,100.0,508.718,48,100.0,6.3195
175,0.003755,100.0,239.739,2131,100.0,205.062
175,0.015935,100.0,235.336,503,100.0,43.7171
175,0.047118,100.0,306.275,170,100.0,16.2884
175,0.093616,100.0,498.742,86,100.0,9.0327
175,0.20098,100.0,559.133,48,100.0,6.5115
175,0.344522,100.0,788.616,48,100.0,6.4461
200,0.000875,100.0,285.214,9143,99.8,990.126
200,0.010525,100.0,353.61,761,100.0,66.1996
200,0.051,100.0,327.506,157,99.9,14.7419
200,0.101525,100.0,448.324,79,100.0,8.6693
200,0.19835,100.0,576.901,48,100.0,6.153
200,0.488675,100.0,1567.18,48,100.0,6.4817
225,0.000138,100.0,355.338,57857,99.5,6682.84
225,0.01037,100.0,375.094,772,99.5,63.6547
225,0.04723,100.0,445.559,170,100.0,15.5825
225,0.09918,100.0,551.762,81,100.0,9.2018
225,0.201521,100.0,792.626,48,100.0,11.3476
225,0.34161,100.0,1079.37,48,100.0,6.4282
250,0.002208,100.0,398.85,3624,99.9,368.347
250,0.00808,100.0,465.285,991,100.0,82.4761
250,0.05664,100.0,642.485,142,100.0,14.8643
250,0.099504,100.0,669.491,81,99.6,9.0246
250,0.201712,100.0,914.194,48,100.0,6.2593
250,0.491776,100.0,2770.28,48,100.0,6.6096
275,0.000159,100.0,484.91,50417,100.0,5778.96
275,0.010208,100.0,693.389,784,100.0,65.9882
275,0.05764,100.0,795.63,139,100.0,15.8806
275,0.099993,100.0,800.87,81,100.0,9.4766
275,0.199431,100.0,1157.66,48,100.0,6.5821
275,0.399114,100.0,1708.04,48,100.0,6.3765
300,0.002889,100.0,629.449,2770,100.0,275.518
300,0.009733,100.0,657.613,822,99.6,67.8317
300,0.061667,100.0,877.541,130,99.7,14.8501
300,0.095922,100.0,908.316,84,99.9,9.031
300,0.200722,100.0,1343.58,48,100.0,6.2714
300,0.495978,100.0,2220.0,48,100.0,6.5829
325,0.002471,100.0,945.729,3238,100.0,340.645
325,0.028507,100.0,741.068,281,100.0,23.6454
325,0.052639,100.0,915.873,152,100.0,14.5173
325,0.094551,100.0,1110.49,85,100.0,9.6908
325,0.197964,100.0,1605.97,48,100.0,6.6389
325,0.343262,100.0,2281.6,48,100.0,6.5106
350,0.005257,100.0,730.471,1522,100.0,148.145
350,0.049706,100.0,1096.28,161,100.0,14.9963
350,0.106988,100.0,1376.07,75,100.0,8.6081
350,0.202702,100.0,2347.08,48,100.0,6.7418
350,0.341257,100.0,2648.99,48,100.0,6.6177
375,0.007964,100.0,1024.11,1005,100.0,86.2927
375,0.010162,100.0,1013.41,788,100.0,65.5662
375,0.047232,100.0,1105.95,170,100.0,16.1538
375,0.094436,100.0,1460.51,85,99.9,9.7571
